Id	Headline	Tag
5a974697410cf7000162e8a4	Virtual Coins, Real Resources	NONTOP
5a974be7410cf7000162e8af	U.S. Advances Military Plans for North Korea	NONTOP
5a9752a2410cf7000162e8ba	Mr. Trump and the ‘Very Bad Judge’	TOP
5a975310410cf7000162e8bd	To Erase Dissent, China Bans Pooh Bear and ‘N’	NONTOP
5a975406410cf7000162e8c3	Loans Flowed to Kushner Cos. After Visits to the White House	TOP
5a975847410cf7000162e8cd	China Envoy Intends To Ease Trade Tensions	NONTOP
5a975d54410cf7000162e8d2	President Trump’s Contradictory, and Sometimes False, Comments About Gun Policy to Lawmakers	NONTOP
5a976cb8410cf7000162e8ec	Classic Letter Puzzle	NONTOP
5a976d2b410cf7000162e8ee	Silicon Valley Disruption In an Australian School	NONTOP
5a977ac9410cf7000162e8fa	‘The Assassination of Gianni Versace’ Episode 6: A Nothing Man	NONTOP
5a97b30e410cf7000162e96e	Graduate	NONTOP
5a97c8c0410cf7000162e99b	Trevor Noah Is Stunned by Trump’s Turnabout on Gun Control	NONTOP
5a97cf30410cf7000162e9aa	Is ‘Black Panther’ a ‘Defining Moment’ for the United States — and Particularly for Black America?	NONTOP
5a97cf33410cf7000162e9ab	Unknown	NONTOP
5a97cf59410cf7000162e9b2	No Pension? You Can ‘Pensionize’ Your Savings	NONTOP
5a97cf5d410cf7000162e9b7	Goodbye, Pay-as-You-Wish	TOP
5a97cf58410cf7000162e9b1	U.S. Closes Door on Christians Who Fled Iran	NONTOP
5a97cf5e410cf7000162e9b8	A Gang’s Fearsome Reputation,  Further Inflated by the President	NONTOP
5a97cf62410cf7000162e9bb	Trial of Killer’s Widow:  Scared Victim of Abuse Or Cunning Accomplice?	NONTOP
5a97cf6a410cf7000162e9bc	Scintillating, and Serene, São Paulo	NONTOP
5a97cf6e410cf7000162e9bd	Can Venezuela Be Saved?	TOP
5a97cf6f410cf7000162e9be	Whole Foods Gets Primed With the Amazon Treatment	NONTOP
5a97d9c6410cf7000162e9d7	The Tet Offensive Was Not About Americans	NONTOP
5a97d9c9410cf7000162e9d9	Saying a Prayer I Don’t Believe In	TOP
5a97d9cb410cf7000162e9db	The Supreme Court’s Power Play Against Labor	TOP
5a97d9ca410cf7000162e9da	Fights Worth Having	TOP
5a97d9cf410cf7000162e9dc	What Motivates Voters More Than Loyalty? Loathing	TOP
5a97dd53410cf7000162e9e6	Unknown	NONTOP
5a97eb6d410cf7000162ea14	A Whole Lot Is Riding On This New ‘Wrinkle’	TOP
5a97f7e3410cf7000162ea32	Unknown	NONTOP
5a97f961410cf7000162ea37	The Challenge of Doctor-Patient Relations in the Internet Age	TOP
5a97ff69410cf7000162ea4a	Putin Says He Has ‘Invincible’ Nuclear Missile	TOP
5a98158e410cf7000162ea90	A Triplex Fit for a Prince, and Owned by One, Finally Sells	NONTOP
5a9815ab410cf7000162ea91	Bunny Williams, Doyenne of Cozy Chic, Lists Her Upper East Side Home	NONTOP
5a981947410cf7000162eaa2	Trump Proclaims Tariffs On Steel and Aluminum, And Stocks Sag in Reply	TOP
5a9825cc410cf7000162eac9	Hi Hi Good Morning Hi I Love You It’s Me	NONTOP
5a9827f6410cf7000162ead1	A Red Older Than Its Year	NONTOP
5a9827fc410cf7000162ead2	Getting a Taste of a Difficult Year	NONTOP
5a98298d410cf7000162eadc	Kosovo’s Grand Hotel: Plenty of Pigeons and Cockroaches	NONTOP
5a982e2a410cf7000162eaf1	Senate Intelligence Panel Says House G.O.P. Leaked a Senator’s Texts	TOP
5a98392c410cf7000162eb10	Where the Hanger Steak Is Rugged	NONTOP
5a984482410cf7000162eb42	Parwana Afghan Kitchen Cooks Rice Worth Swooning Over	NONTOP
5a9845bc410cf7000162eb47	In a New York Minute, Hire for Schools Opts Out	NONTOP
5a98465d410cf7000162eb49	Trump’s Call to Arm Teachers Resonates at Schools That Do	TOP
5a9846bf410cf7000162eb4a	HUD Chief Scrambles To Cancel Dining Set	NONTOP
5a984b45410cf7000162eb58	Disenchantment for Aide Grew With the Spotlight	TOP
5a98538a410cf7000162eb72	What to Expect (And Not) at the Oscars	NONTOP
5a985b9a410cf7000162eb85	What We Will Lose When the Union Carbide Building Falls	NONTOP
5a986cf8410cf7000162ebb8	Not the Higher Prices, It’s What Might Happen Next	TOP
5a987816410cf7000162ebe4	Facebook Issue Laid Bare: Man’s Chest vs. Woman’s Back	NONTOP
5a98781e410cf7000162ebe5	Teaching With: ‘True Believers in Justice’	NONTOP
5a987dca410cf7000162ebf6	Arming Teachers, Unusual Foods, Dating Online and More: Our Favorite Student Comments of the Week	NONTOP
5a9885d5410cf7000162ec11	Poland and Israel in Tense Talks Over Holocaust Law	NONTOP
5a9892ed410cf7000162ec38	Taxpayers, You’ve Been Scammed	TOP
5a9892f2410cf7000162ec39	How the Left Wins the Culture War	TOP
5a9892f6410cf7000162ec3a	Will Hope Hicks Find Her Voice?	NONTOP
5a9893fe410cf7000162ec3d	Do Subway Signals Get Short Shrift in Emergency Plan?	NONTOP
5a989570410cf7000162ec43	Report Said to Assail Ex-F.B.I. Official on Media Disclosures	NONTOP
5a98961c410cf7000162ec46	N.R.A. Says Trump May Retreat on Gun Control	TOP
5a989bd9410cf7000162ec56	Intrigue in the House of Trump	TOP
5a98a5b8410cf7000162ec72	Unknown	NONTOP
